src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
192.168.101.4,40.90.184.73,6,64585,443,1451191,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,60231,1451249,60231,88,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,59687,1451249,59687,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,53347,1451249,53347,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,443,64616,1451249,64616,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,64616,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,64616,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,51553,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,51553,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,64634,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,64634,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,64634,443,1451249,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,54851,1451290,54851,88,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,63399,1451290,63399,112,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,53,51939,1451290,51939,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,54109,443,1451290,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,54109,443,1451290,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,54109,443,1451290,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110.44.112.200,192.168.101.4,17,54109,443,1451290,443,132,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64877,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64877,443,1451737,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64877,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.82,192.168.101.4,6,443,64877,1451737,64877,1438,1438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64877,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64837,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64837,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,64837,443,1451737,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
